canonicalName	genus	obs_FI	obs_NO	genusKey	speciesKey	count_FI_60N	count_NO_60N	count_FI_66N	count_NO_66N
amphipoea crinanensis	amphipoea	547	320	1771363	1771391	492	174	0	110
amphipoea fucosa	amphipoea	43358	1154	1771363	7725644	41033	247	93	0
amphipoea lucens	amphipoea	5682	206	1771363	1771429	4986	17	4	0
amphipoea oculea	amphipoea	23305	523	1771363	1771385	21273	31	15	1
amphipogon flavus	amphipogon	167	507	1522415	5067658	166	476	98	22
amphiporthe tiliae	amphiporthe	2	0	2566749	9755020	2	0	0	0
amphiporus angulatus	amphiporus	0	7	2507489	2507276	0	7	0	7
amphiporus dissimulans	amphiporus	0	6	2507489	2507354	0	6	0	6
amphiporus hastatus	amphiporus	0	11	2507489	2507400	0	11	0	0
amphiporus lactifloreus	amphiporus	0	31	2507489	2507325	0	31	0	30
amphiporus superbus	amphiporus	0	3	2507489	2507342	0	2	0	2
amphipsylla rossica	amphipsylla	2	0	1418042	1418080	2	0	2	0
amphipsylla sibirica	amphipsylla	5	37	1418042	1418114	5	36	2	22
amphipyra berbera	amphipyra	2872	0	1766123	1766128	2508	0	0	0
amphipyra livida	amphipyra	107	0	1766123	1766130	48	0	0	0
amphipyra perflua	amphipyra	23168	854	1766123	1766131	21646	84	16	0
amphipyra pyramidea	amphipyra	11832	3103	1766123	1766137	10373	319	0	0
amphipyra tragopoginis	amphipyra	14732	2249	1766123	1766210	13909	1520	24	2
amphisbatis incongruella	amphisbatis	0	15	9210440	1835953	0	0	0	0
amphisphaerella deceptiva	amphisphaerella	0	1	2574259	5488232	0	1	0	1
amphisphaerella dispersella	amphisphaerella	14	182	2574259	5254400	10	162	0	6
amphisphaerella erikssonii	amphisphaerella	1	14	2574259	5488235	1	14	0	14
amphisphaerella xylostei	amphisphaerella	20	3	2574259	8866386	19	0	0	0
amphisphaeria bufonia	amphisphaeria	0	6	8105191	2574663	0	6	0	0
amphisphaeria multipunctata	amphisphaeria	2	0	8105191	6096465	2	0	0	0
amphisphaeria papillata	amphisphaeria	3	0	8105191	3462870	2	0	0	0
amphisphaeria stilbostoma	amphisphaeria	0	3	8105191	3462701	0	0	0	0
amphisphaeria umbrina	amphisphaeria	5	59	8105191	2574659	1	59	0	1
amphissa acutecostata	amphissa	0	67	2305676	5193692	0	62	0	7
amphitantulus harpiniacheres	amphitantulus	0	4	2116554	2116555	0	0	0	0
amphitectus areolatus	amphitectus	1	1	9199341	5761516	1	0	0	0
amphithopsis longicaudata	amphithopsis	0	96	2216349	2216351	0	80	0	44
amphitrite cirrata	amphitrite	0	731	2324331	5198873	0	639	0	237
amphitrite figulus	amphitrite	0	7	2324331	5198906	0	6	0	1
amphitritides gracilis	amphitritides	0	33	2324823	2324824	0	27	0	6
amphiura abyssorum	amphiura	0	2	2278224	2277952	0	2	0	0
amphiura borealis	amphiura	0	1190	2278224	2277922	0	1158	0	800
amphiura carnea	amphiura	0	4	2278224	4340574	0	4	0	0
amphiura chiajei	amphiura	0	15547	2278224	2277897	0	9214	0	1032
amphiura filiformis	amphiura	0	26739	2278224	2277820	0	12089	0	3504
amphiura fragilis	amphiura	0	1	2278224	2277809	0	1	0	1
amphiura griegi	amphiura	0	341	2278224	2278057	0	337	0	33
amphiura otteri	amphiura	0	13	2278224	2277959	0	13	0	9
amphiura securigera	amphiura	0	98	2278224	2278030	0	81	0	46
