canonicalName	genus	obs_FI	obs_NO	genusKey	speciesKey	count_FI_60N	count_NO_60N	count_FI_66N	count_NO_66N
allium unifolium	allium	0	4	9624496	2857829	0	4	0	0
allium ursinum	allium	199	3972	9624496	2857601	145	2007	0	0
allium validum	allium	0	11	9624496	2857382	0	11	0	0
allium victorialis	allium	0	135	9624496	2857132	0	131	0	49
allium vineale	allium	83	2573	9624496	7792960	36	72	0	0
allium wallichii	allium	0	58	9624496	2856054	0	58	0	0
allium wendelboanum	allium	0	2	9624496	2857908	0	2	0	0
allium zebdanense	allium	1	23	9624496	2857341	1	23	0	0
allosorus crispus	hemionitis	0	2	2650222	8115249	0	1	0	1
alnites macquarrii	corylus	0	3	2875967	11807321	0	0	0	0
alnus alnobetula	alnus	2	217	2876099	8956987	2	19	1	3
alnus cordata	alnus	0	2	2876099	2876607	0	2	0	0
alnus glutinosa	alnus	22842	16746	2876099	2876213	21691	2584	104	3
alnus incana	alnus	57571	27211	2876099	9148577	57088	17343	6520	2616
alnus mandschurica	alnus	2	0	2876099	7299115	2	0	0	0
alnus pubescens	alnus	20	12	2876099	2876571	7	1	1	0
alnus rubra	alnus	0	2	2876099	2876176	0	1	0	0
alocasia mortfontanensis	alocasia	2	0	5329822	5532250	2	0	0	0
aloe vera	aloe	0	6	2770879	2777724	0	6	0	0
aloina aloides	aloina	0	3	2671379	2671385	0	0	0	0
aloina ambigua	aloina	0	7	2671379	2672833	0	1	0	0
aloina brevirostris	aloina	54	289	2671379	2671389	54	75	2	3
aloina rigida	aloina	32	256	2671379	2671383	32	124	1	0
alopecurus aequalis	alopecurus	11088	2334	2705236	5290083	10928	1462	1438	300
alopecurus arundinaceus	alopecurus	1613	355	2705236	5290087	1290	190	111	182
alopecurus brachystylus	alopecurus	13	0	2705236	5672404	0	0	0	0
alopecurus geniculatus	alopecurus	10718	6669	2705236	5290090	10404	2862	369	645
alopecurus gerardii	alopecurus	0	10	2705236	4107988	0	0	0	0
alopecurus magellanicus	alopecurus	0	86	2705236	4107552	0	2	0	2
alopecurus myosuroides	alopecurus	161	141	2705236	5290097	142	24	2	0
alopecurus pratensis	alopecurus	21380	6646	2705236	5290081	20938	2854	610	678
alopecurus rendlei	alopecurus	2	0	2705236	5290073	1	0	0	0
aloysia citriodora	aloysia	0	7	2925634	5341164	0	7	0	0
althaea officinalis	althaea	7	34	3152518	3152520	7	12	0	0
alyssum alyssoides	alyssum	61	289	3044728	3044855	51	35	0	0
alyssum hirsutum	alyssum	2	4	3044728	3045006	2	0	0	0
alyssum montanum	alyssum	1	2	3044728	3044912	0	1	0	0
alyssum turkestanicum	alyssum	4	2	3044728	3045082	4	0	0	0
amaranthus albus	amaranthus	157	43	3085074	7905507	154	3	0	0
amaranthus blitoides	amaranthus	45	14	3085074	5384395	45	0	0	0
amaranthus blitum	amaranthus	14	16	3085074	8911082	14	3	0	0
amaranthus caudatus	amaranthus	22	29	3085074	6109611	22	17	0	0
amaranthus crispus	amaranthus	2	0	3085074	5384341	2	0	0	0
amaranthus cruentus	amaranthus	29	15	3085074	5384390	26	2	0	0
amaranthus deflexus	amaranthus	12	5	3085074	5384396	12	0	0	0
amaranthus graecizans	amaranthus	2	0	3085074	5384373	2	0	0	0
amaranthus hybridus	amaranthus	35	74	3085074	5384364	34	16	0	0
amaranthus hypochondriacus	amaranthus	19	20	3085074	9080185	13	6	0	0
amaranthus palmeri	amaranthus	4	8	3085074	5384393	4	0	0	0
amaranthus powellii	amaranthus	64	61	3085074	5384359	64	2	0	0
amaranthus retroflexus	amaranthus	511	496	3085074	6109534	497	67	3	2
amaranthus spinosus	amaranthus	13	23	3085074	5384401	13	4	0	0
amaranthus standleyanus	amaranthus	3	0	3085074	5548401	3	0	0	0
amaranthus tricolor	amaranthus	0	2	3085074	5384397	0	2	0	0
amaranthus tuberculatus	amaranthus	17	0	3085074	8577467	17	0	0	0
amaranthus viridis	amaranthus	4	8	3085074	5384334	4	1	0	0
amauropelta noveboracensis	amauropelta	4	0	7321172	11588763	3	0	0	0
amblyodon dealbatus	amblyodon	299	259	2675964	8428680	291	136	216	62
amblystegium serpens	amblystegium	1822	1411	2681234	7797019	1697	374	91	102
ambrosia artemisiifolia	ambrosia	418	470	3110576	8002952	407	77	1	2
ambrosia psilostachya	ambrosia	2	9	3110576	3110686	2	0	0	0
ambrosia spec	ambrosia	7	1	3110576	11491555	7	1	1	1
ambrosia trifida	ambrosia	51	92	3110576	3110588	48	23	1	0
amelanchier alnifolia	amelanchier	102	212	3023817	3023905	102	31	0	1
